reviewScore,genres,runtime,name,titleId
8.2,"Action,Adventure,Fantasy",138 min,Star Wars: The Force Awakens,tt2488496
8.0,"Adventure,Drama,Sci-Fi",144 min,The Martian,tt3659388
8.0,"Adventure,Drama,Thriller",156 min,The Revenant,tt1663202
8.2,"Animation,Adventure,Comedy",95 min,Inside Out,tt2096673
7.7,"Drama,Mystery,Sci-Fi",108 min,Ex Machina,tt0470752
6.8,"Action,Adventure,Thriller",148 min,Spectre,tt2379713
7.4,"Action,Adventure,Thriller",131 min,Mission: Impossible - Rogue Nation,tt2381249
8.1,"Biography,Crime,Drama",128 min,Spotlight,tt1895587
7.8,"Biography,Comedy,Drama",130 min,The Big Short,tt1596363
7.6,"Drama,History,Thriller",142 min,Bridge of Spies,tt3682448
8.2,Drama,118 min,Room,tt3170832
6.9,"Action,Crime,Drama",120 min,Chappie,tt1823672
6.3,"Adventure,Sci-Fi,Thriller",119 min,Insurgent,tt2908446
6.6,"Comedy,Crime,Drama",105 min,Focus,tt2381941
6.1,"Action,Adventure,Drama",114 min,San Andreas,tt2126355
6.4,"Action,Sci-Fi,Thriller",132 min,Maze Runner: The Scorch Trials,tt4046784
5.4,"Action,Adventure,Sci-Fi",127 min,Jupiter Ascending,tt1617661
6.5,"Action,Adventure,Family",130 min,Tomorrowland,tt1964418
6.9,"Biography,Crime,Drama",123 min,Black Mass,tt1355683
4.3,"Action,Adventure,Sci-Fi",100 min,Fantastic Four,tt1502712
8.6,"Adventure,Drama,Sci-Fi",169 min,Interstellar,tt0816692
8.1,"Crime,Drama,Mystery",149 min,Gone Girl,tt2267998
7.8,"Action,Adventure,Sci-Fi",136 min,Captain America: The Winter Soldier,tt1843866
8.1,"Biography,Drama,Thriller",114 min,The Imitation Game,tt2084970
8.5,"Drama,Music",107 min,Whiplash,tt2582802
7.8,"Comedy,Drama,Romance",119 min,Birdman or (The Unexpected Virtue of Ignorance),tt2562232
6.7,"Adventure,Mystery,Sci-Fi",139 min,Divergent,tt1840309
7.3,"Action,Biography,Drama",133 min,American Sniper,tt2179136
7.6,"Action,Adventure,Drama",130 min,Dawn of the Planet of the Apes,tt2103281
6.7,"Adventure,Sci-Fi,Thriller",123 min,The Hunger Games: Mockingjay - Part 1,tt1951265
6.5,"Action,Adventure,Sci-Fi",123 min,Godzilla,tt0831387
7.9,"Animation,Action,Adventure",102 min,Big Hero 6,tt2245084
7.9,Drama,165 min,Boyhood,tt1065073
7.2,"Action,Crime,Thriller",101 min,John Wick,tt2911666
7.8,"Drama,Romance",126 min,The Fault in Our Stars,tt2582846
7.8,"Animation,Action,Adventure",100 min,The Lego Movie,tt1490017
7.2,"Action,Crime,Thriller",132 min,The Equalizer,tt0455944
7.9,"Animation,Action,Adventure",102 min,How to Train Your Dragon 2,tt1646971
7.0,"Action,Mystery,Thriller",106 min,Non-Stop,tt2024469
6.2,"Action,Crime,Sci-Fi",117 min,RoboCop,tt1234721
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
7.2,"Action,Adventure,Sci-Fi",130 min,Iron Man 3,tt1300854
7.6,"Action,Adventure,Mystery",146 min,The Hunger Games: Catching Fire,tt1951264
7.0,"Action,Adventure,Horror",116 min,World War Z,tt0816711
8.1,"Biography,Drama,History",134 min,12 Years a Slave,tt2024544
7.1,"Action,Adventure,Fantasy",112 min,Thor: The Dark World,tt1981115
8.1,"Crime,Drama,Mystery",153 min,Prisoners,tt1392214
7.0,"Action,Adventure,Sci-Fi",131 min,Pacific Rim,tt1663662
8.0,"Drama,Romance,Sci-Fi",126 min,Her,tt1798709
6.6,"Action,Drama,Sci-Fi",109 min,Elysium,tt1535108
6.7,"Action,Adventure,Sci-Fi",126 min,The Wolverine,tt1430132
7.0,"Comedy,Crime",110 min,We're the Millers,tt1723121
6.7,"Comedy,Fantasy",107 min,This Is the End,tt1245492
7.1,"Action,Crime,Thriller",130 min,Fast & Furious 6,tt1905041
7.3,"Animation,Adventure,Comedy",104 min,Monsters University,tt1453405
5.9,"Comedy,Crime",100 min,The Hangover Part III,tt1951261
7.6,"Action,Biography,Drama",121 min,Lone Survivor,tt1091191
6.6,"Action,Comedy,Crime",103 min,Kick-Ass 2,tt1650554
7.0,"Action,Comedy,Sci-Fi",109 min,The World's End,tt1213663
6.9,"Comedy,Horror,Romance",98 min,Warm Bodies,tt1588173
8.5,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.5,"Drama,Western",165 min,Django Unchained,tt1853728
7.9,"Adventure,Fantasy",169 min,The Hobbit: An Unexpected Journey,tt0903624
7.8,"Action,Adventure,Thriller",143 min,Skyfall,tt1074638
7.0,"Adventure,Mystery,Sci-Fi",124 min,Prometheus,tt1446714
7.0,"Action,Adventure",136 min,The Amazing Spider-Man,tt0948470
7.4,"Action,Crime,Drama",119 min,Looper,tt1276104
8.0,"Drama,Romance",102 min,The Perks of Being a Wallflower,tt1659337
7.0,"Horror,Mystery,Thriller",95 min,The Cabin in the Woods,tt1259521
7.8,"Animation,Adventure,Comedy",101 min,Wreck-It Ralph,tt1772341
7.3,"Drama,Thriller",138 min,Flight,tt1907668
7.6,"Drama,Musical,Romance",158 min,Les Misérables,tt1707386
6.3,"Action,Crime,Thriller",92 min,Taken 2,tt1397280
6.7,"Action,Adventure,Mystery",135 min,The Bourne Legacy,tt1194173
7.4,"Drama,History,Thriller",157 min,Zero Dark Thirty,tt1790885
6.4,"Comedy,Romance",83 min,The Dictator,tt1645170
7.1,"Sci-Fi,Thriller",84 min,Chronicle,tt1706593
6.3,"Action,Adventure,Mystery",118 min,Total Recall,tt1386703
6.2,"Comedy,Fantasy,Horror",113 min,Dark Shadows,tt1077368
7.3,"Crime,Drama,Thriller",140 min,The Place Beyond the Pines,tt1817273
8.1,"Adventure,Drama,Fantasy",130 min,Harry Potter and the Deathly Hallows: Part 2,tt1201607
7.8,"Action,Adventure,Sci-Fi",132 min,X-Men: First Class,tt1270798
8.6,"Biography,Comedy,Drama",112 min,The Intouchables,tt1675434
7.4,"Mystery,Sci-Fi,Thriller",105 min,Limitless,tt1219289
7.5,"Mystery,Romance,Sci-Fi",93 min,Source Code,tt0945513
7.4,"Comedy,Drama,Romance",118 min,"Crazy, Stupid, Love.",tt1570728
7.4,"Action,Adventure,Thriller",133 min,Mission: Impossible - Ghost Protocol,tt1229238
7.5,"Action,Adventure,Crime",129 min,Sherlock Holmes: A Game of Shadows,tt1515091
7.8,"Crime,Drama,Mystery",158 min,The Girl with the Dragon Tattoo,tt1568346
8.1,Drama,146 min,The Help,tt1454029
7.7,"Comedy,Fantasy,Romance",94 min,Midnight in Paris,tt1605783
7.3,"Action,Crime,Thriller",131 min,Fast Five,tt1596343
6.6,"Comedy,Romance",109 min,Friends with Benefits,tt1632708
7.1,"Action,Drama,Family",127 min,Real Steel,tt0433035
5.6,"Action,Adventure,Sci-Fi",114 min,Green Lantern,tt1133985
6.9,"Action,Mystery,Thriller",113 min,Unknown,tt1401152
6.8,"Action,Adventure,Drama",117 min,The Grey,tt1601913
6.1,"Action,Fantasy",110 min,Sucker Punch,tt0978764
7.0,"Adventure,Comedy,Sci-Fi",104 min,Paul,tt1092026
7.1,Drama,101 min,The Ides of March,tt1124035
